variables =	x, p
-3.5e-06	3.33949e+06
7.18885e-05	512614
-3.49231e-06	3.33949e+06
-3.46935e-06	3.33949e+06
-3.40825e-06	3.31271e+06
-3.32064e-06	3.30523e+06
-3.21137e-06	3.25051e+06
-3.08521e-06	3.23179e+06
-2.93962e-06	3.15013e+06
-2.77083e-06	3.07919e+06
-2.57253e-06	2.98486e+06
-2.33615e-06	2.86471e+06
-2.06071e-06	2.70674e+06
-1.74909e-06	2.51664e+06
-1.40738e-06	2.30089e+06
-1.0446e-06	2.07278e+06
-6.71713e-07	1.83895e+06
-2.96079e-07	1.26575e+06
7.80086e-08	1.10952e+06
4.49503e-07	996010
8.17362e-07	913176
1.18108e-06	849551
1.54036e-06	799286
1.89502e-06	758057
2.24507e-06	723722
2.59043e-06	703218
2.93022e-06	704672
3.26594e-06	713421
3.59512e-06	702430
3.91677e-06	683435
4.23122e-06	668880
4.53842e-06	665272
4.83847e-06	669094
5.13215e-06	671088
5.42002e-06	673646
5.70201e-06	674707
5.97805e-06	673658
6.24809e-06	667455
6.51318e-06	668341
6.77451e-06	669351
7.03215e-06	669011
7.28604e-06	673556
7.53616e-06	676120
7.78594e-06	678699
8.03912e-06	677817
8.29605e-06	675859
8.55668e-06	675940
8.82096e-06	678831
9.08884e-06	679619
9.36075e-06	683772
9.63845e-06	686999
9.92331e-06	687942
1.02153e-05	692222
1.05143e-05	697044
1.08202e-05	693237
1.11333e-05	678035
1.14536e-05	661405
1.17811e-05	651686
1.21154e-05	655908
1.24565e-05	662101
1.28042e-05	653212
1.3158e-05	655582
1.35179e-05	659045
1.38834e-05	660341
1.42543e-05	664322
1.46302e-05	663156
1.50108e-05	650661
1.53956e-05	642446
1.57843e-05	638857
1.61764e-05	638857
1.65715e-05	642781
1.69691e-05	642774
1.73689e-05	635936
1.77702e-05	627801
1.81726e-05	617697
1.85756e-05	607386
1.89788e-05	595554
1.93816e-05	589441
1.97836e-05	588133
2.01842e-05	581728
2.0583e-05	573169
2.09795e-05	565826
2.13732e-05	559749
2.17638e-05	559412
2.21507e-05	563270
2.25335e-05	560938
2.29119e-05	553860
2.32855e-05	516232
2.36538e-05	506618
2.40167e-05	508896
2.43737e-05	508170
2.47246e-05	504307
2.50692e-05	500421
2.54071e-05	498372
2.57382e-05	499777
2.60623e-05	500136
2.63792e-05	500836
2.66887e-05	501471
2.69909e-05	501931
2.72855e-05	502165
2.75736e-05	502747
2.78565e-05	503824
2.81344e-05	505625
2.84073e-05	504442
2.86752e-05	503104
2.89382e-05	503682
2.91969e-05	503920
2.9452e-05	504856
2.97032e-05	504240
2.9953e-05	502480
3.02051e-05	502380
3.0461e-05	503536
3.07209e-05	503078
3.09849e-05	503458
3.1253e-05	501846
3.1525e-05	501312
3.18011e-05	502535
3.20823e-05	503617
3.23707e-05	502844
3.26666e-05	504084
3.29701e-05	506234
3.3281e-05	507237
3.35992e-05	508461
3.39245e-05	509892
3.42568e-05	512392
3.45959e-05	514448
3.49416e-05	516438
3.52936e-05	513811
3.56517e-05	504862
3.60155e-05	496896
3.63849e-05	493780
3.67593e-05	495400
3.71385e-05	496032
3.75221e-05	495106
3.79097e-05	496231
3.83008e-05	496121
3.8695e-05	498215
3.9092e-05	497572
3.94911e-05	491402
3.9892e-05	483671
4.02942e-05	475537
4.06971e-05	467555
4.11003e-05	465191
4.15032e-05	467393
4.19055e-05	468952
4.23066e-05	470123
4.2706e-05	464585
4.31032e-05	458222
4.34978e-05	449755
4.38893e-05	442559
4.42774e-05	436844
4.46615e-05	434448
4.50412e-05	435892
4.54163e-05	436604
4.57863e-05	435266
4.61508e-05	435301
4.65096e-05	436091
4.68624e-05	436560
4.72089e-05	436958
4.75488e-05	436069
4.7882e-05	436750
4.82082e-05	436482
4.85272e-05	436481
4.8839e-05	436961
4.91434e-05	437342
4.94403e-05	437732
4.97296e-05	438499
5.00117e-05	439649
5.02885e-05	440899
5.05613e-05	439985
5.083e-05	439902
5.10946e-05	440460
5.1355e-05	440834
5.16113e-05	441507
5.18638e-05	442096
5.21136e-05	443314
5.23644e-05	443168
5.2619e-05	444271
5.28773e-05	444706
5.31398e-05	445205
5.34071e-05	445656
5.36794e-05	446854
5.39567e-05	447529
5.42388e-05	448463
5.4526e-05	449773
5.48197e-05	450474
5.5121e-05	452201
5.54296e-05	452490
5.57456e-05	453415
5.60688e-05	454458
5.63991e-05	455211
5.67362e-05	456381
5.70799e-05	457400
5.74301e-05	458569
5.77863e-05	460326
5.81485e-05	461919
5.85162e-05	463416
5.88892e-05	464936
5.9267e-05	465474
5.96493e-05	467078
6.00357e-05	467078
6.04258e-05	470300
6.08192e-05	473051
6.12154e-05	473958
6.16139e-05	473222
6.20143e-05	475461
6.24162e-05	478666
6.28189e-05	479981
6.32221e-05	481683
6.36251e-05	483870
6.40277e-05	485316
6.44292e-05	486528
6.48291e-05	489243
6.5227e-05	491332
6.56225e-05	492940
6.6015e-05	494155
6.64041e-05	495649
6.67894e-05	497282
6.71705e-05	499182
6.7547e-05	500710
6.79186e-05	502564
6.82848e-05	504324
6.86453e-05	505636
6.89999e-05	506579
6.93483e-05	507319
6.96902e-05	508684
7.00254e-05	509282
7.03537e-05	510273
7.0675e-05	510584
7.09889e-05	511107
7.12958e-05	511664
7.15957e-05	512303
0.00014961	1.04586e+06
7.21609e-05	513834
7.24217e-05	514318
7.26726e-05	516359
7.29172e-05	516685
7.31645e-05	519092
7.34216e-05	520502
7.36883e-05	522828
7.39641e-05	522828
7.42513e-05	525754
7.45529e-05	528652
7.48694e-05	531828
7.51998e-05	534668
7.55429e-05	537672
7.58971e-05	540204
7.62607e-05	542792
7.6632e-05	544471
7.70086e-05	546559
7.73884e-05	548673
7.77692e-05	550527
7.81484e-05	551318
7.8524e-05	553193
7.88936e-05	554536
7.92552e-05	555647
7.96069e-05	557015
7.9947e-05	558598
8.02747e-05	559631
8.05894e-05	561805
8.08904e-05	563157
8.11772e-05	563910
8.14491e-05	565003
8.17082e-05	565843
8.19582e-05	566782
8.22016e-05	567770
8.24461e-05	568747
8.26988e-05	570114
8.29596e-05	571085
8.32304e-05	572277
8.35153e-05	573428
8.38158e-05	574041
8.41311e-05	574793
8.44605e-05	575870
8.48025e-05	577654
8.51559e-05	578670
8.55189e-05	580025
8.58896e-05	581041
8.62659e-05	582550
8.66456e-05	583574
8.70263e-05	584241
8.74058e-05	585147
8.77817e-05	586360
8.81519e-05	587563
8.85142e-05	588519
8.88667e-05	589280
8.92078e-05	589750
8.9536e-05	590728
8.98502e-05	591965
9.01495e-05	593130
9.04331e-05	594120
9.07024e-05	594962
9.09615e-05	596386
9.12127e-05	598140
9.14559e-05	599886
9.16986e-05	601171
9.19488e-05	602307
9.22079e-05	602307
9.24797e-05	602925
9.27665e-05	603136
9.30679e-05	604628
9.33832e-05	606452
9.37114e-05	607143
9.40522e-05	607101
9.44045e-05	609494
9.47665e-05	611409
9.51365e-05	610832
9.55123e-05	611638
9.58917e-05	614605
9.62724e-05	615795
9.66521e-05	614846
9.70285e-05	615997
9.73994e-05	618562
9.77627e-05	619844
9.81163e-05	621769
9.84588e-05	622637
9.87885e-05	622925
9.91042e-05	625112
9.94051e-05	627797
9.96912e-05	629276
9.99657e-05	629511
0.000100231	630583
0.000100487	632349
0.000100734	634250
0.000100979	635915
0.00010123	637465
0.000101493	637465
0.000101769	637932
0.000102059	638740
0.000102362	640859
0.000102678	643302
0.000103006	644723
0.000103347	645333
0.0001037	647600
0.000104062	650039
0.000104432	650823
0.000104808	652543
0.000105187	655060
0.000105568	657007
0.000105948	658203
0.000106324	660665
0.000106695	662734
0.000107058	664582
0.000107411	666614
0.000107753	668715
0.000108083	671071
0.000108398	674557
0.000108699	676924
0.000108988	678360
0.000109266	680811
0.000109534	683262
0.000109791	686137
0.000110037	688358
0.000110281	690532
0.000110536	690532
0.000110803	695298
0.000111083	698430
0.000111375	701238
0.000111677	704470
0.000111993	704470
0.000112322	708485
0.000112664	711771
0.000113018	715314
0.000113381	718978
0.000113751	722943
0.000114128	727023
0.000114507	731205
0.000114888	735356
0.000115268	739422
0.000115643	743368
0.000116014	747282
0.000116376	751710
0.000116728	756101
0.00011707	760449
0.000117398	764293
0.000117712	767619
0.000118014	771852
0.000118304	772507
0.000118583	774820
0.000118849	776961
0.000119104	780419
0.000119348	782764
0.000119595	786241
0.000119853	789702
0.000120122	793163
0.000120401	796327
0.000120691	799059
0.000120994	802800
0.00012131	806878
0.000121641	806878
0.000121984	813490
0.000122338	819255
0.000122702	825351
0.000123074	830209
0.00012345	834677
0.00012383	839530
0.000124211	845237
0.00012459	851190
0.000124966	856492
0.000125335	860383
0.000125697	862138
0.000126048	861773
0.000126388	861350
0.000126715	862989
0.000127029	864172
0.000127331	864410
0.00012762	861686
0.000127896	861714
0.000128158	858767
0.000128409	858426
0.000128654	857414
0.000128902	859227
0.000129159	860663
0.000129426	861924
0.000129703	861924
0.00012999	864548
0.000130293	865857
0.00013061	868244
0.000130941	871067
0.000131285	872832
0.00013164	874103
0.000132004	876307
0.000132375	878571
0.000132752	881892
0.000133132	885799
0.000133513	889961
0.000133892	894377
0.000134267	899849
0.000134636	905601
0.000134998	911710
0.000135349	916483
0.000135688	920291
0.000136015	921680
0.000136329	924323
0.000136629	926332
0.000136915	928935
0.000137186	929802
0.000137445	931573
0.000137694	930074
0.000137938	929178
0.000138183	925390
0.000138436	921886
0.000138697	916775
0.000138968	912844
0.000139254	907493
0.000139555	902427
0.000139871	898080
0.000140201	894130
0.000140544	889766
0.000140898	886057
0.000141261	886955
0.000141632	890532
0.000142008	895304
0.000142388	900478
0.000142769	905663
0.000143148	911219
0.000143524	917652
0.000143894	923993
0.000144256	930558
0.000144608	936282
0.000144948	942864
0.000145276	947523
0.000145589	953100
0.000145888	958077
0.00014617	963642
0.000146439	968033
0.000146698	974825
0.000146949	977898
0.000147192	982450
0.000147435	989677
0.000147686	999916
0.000147946	1.01323e+06
0.000148218	1.02771e+06
0.000148506	1.03515e+06
0.000148809	1.03515e+06
0.000149126	1.04586e+06
0.000149368	1.04586e+06
