element no.	n1	n2	n3	b1	b2	b3	c1	c2	c3	element area	shortest edge length
1	593	349	627	-2.22497e+06	3.52372e+06	-1.29875e+06	-6.03782e+06	1.91873e+06	4.11909e+06	2.94006e-14	2.35925e-07
2	627	349	594	-3.18694e+06	2.03124e+06	1.15571e+06	-1.00484e+06	-2.13136e+06	3.1362e+06	5.66021e-14	3.33302e-07
3	593	627	592	4.82246e+06	-1.29875e+06	-3.52372e+06	-2.20036e+06	4.11909e+06	-1.91873e+06	2.94006e-14	2.35925e-07
4	117	99	630	-2.68966e+06	2.68966e+06	-1.24325e-08	-1.85334e+06	-499957	2.3533e+06	7.8994e-14	3.71794e-07
5	119	630	99	5.9705e+06	-3.25839e+06	-2.71211e+06	4.11404e+06	108068	-4.22211e+06	3.55862e-14	2.32035e-07
6	630	119	120	-3.1275e+06	506257	2.62125e+06	311833	-4.39249e+06	4.08066e+06	3.68198e-14	2.3145e-07
7	117	630	631	251343	2.64831e+06	-2.89965e+06	-2.40002e+06	1.86103e+06	538990	7.32734e-14	3.53639e-07
8	117	631	116	2.61088e+06	-1.36125e-08	-2.61088e+06	-741919	2.57665e+06	-1.83473e+06	7.43239e-14	3.83013e-07
9	627	594	632	-860738	2.91851e+06	-2.05777e+06	-3.44571e+06	1.2865e+06	2.15921e+06	5.58721e-14	3.33302e-07
10	632	594	595	-2.81919e+06	2.10211e+06	717074	-888886	-1.98171e+06	2.87059e+06	6.7066e-14	3.87501e-07
11	116	631	633	-142022	2.53093e+06	-2.38891e+06	-2.53629e+06	1.85744e+06	678844	8.12297e-14	4.03467e-07
12	116	633	115	2.21408e+06	-1.28486e-08	-2.21408e+06	-807150	2.43206e+06	-1.62491e+06	9.28542e-14	4.37644e-07
13	632	595	634	-712698	2.70177e+06	-1.98907e+06	-2.87472e+06	999580	1.87514e+06	7.08776e-14	3.87501e-07
14	634	595	596	-2.66204e+06	1.98923e+06	672811	-839338	-1.87449e+06	2.71383e+06	7.50795e-14	4.10425e-07
